Date,Campaign_A_Sales,Campaign_B_Sales,Website_Visits_A,Website_Visits_B
2021-01-01,117,110,296,298
2021-01-02,187,123,383,428
2021-01-03,92,115,256,355
2021-01-04,152,211,417,432
2021-01-05,89,187,431,506
2021-01-06,155,125,296,522
2021-01-07,85,171,225,525
2021-01-08,159,215,341,515
2021-01-09,144,192,412,362
2021-01-10,96,174,316,470
2021-01-11,81,162,499,301
2021-01-12,156,146,334,388
2021-01-13,151,132,405,373
2021-01-14,189,188,384,520
2021-01-15,86,123,224,441
2021-01-16,105,155,337,271
2021-01-17,130,165,399,424
2021-01-18,100,213,448,381
2021-01-19,181,177,221,458
2021-01-20,98,103,496,304
2021-01-21,164,100,277,321
2021-01-22,91,177,419,264
2021-01-23,186,106,377,455
2021-01-24,108,152,245,393
2021-01-25,109,185,344,462
2021-01-26,94,170,434,364
2021-01-27,130,102,245,488
2021-01-28,148,176,263,294
2021-01-29,167,191,235,287
2021-01-30,167,121,233,400
2021-01-31,185,175,330,262
2021-02-01,193,107,283,465
2021-02-02,199,177,248,375
2021-02-03,174,172,488,293
2021-02-04,176,175,453,544
2021-02-05,166,176,356,341
2021-02-06,93,143,255,362
2021-02-07,185,120,410,503
2021-02-08,89,130,487,476
2021-02-09,87,136,228,421
2021-02-10,143,203,422,434
2021-02-11,141,107,336,323
2021-02-12,102,145,309,339
2021-02-13,137,168,299,277
2021-02-14,81,157,232,293
2021-02-15,80,212,208,251
2021-02-16,140,182,284,377
2021-02-17,161,196,250,344
2021-02-18,88,113,279,280
2021-02-19,168,110,369,314
2021-02-20,93,123,308,400
2021-02-21,195,181,411,348
2021-02-22,127,107,224,381
2021-02-23,186,124,313,320
2021-02-24,152,174,476,390
2021-02-25,110,192,244,545
2021-02-26,151,120,471,480
2021-02-27,83,132,358,333
2021-02-28,150,112,475,489
2021-03-01,101,165,451,426
2021-03-02,129,194,354,519
2021-03-03,137,160,435,414
2021-03-04,83,205,286,529
2021-03-05,148,124,427,372
2021-03-06,104,182,253,499
2021-03-07,193,215,443,303
2021-03-08,123,197,490,419
2021-03-09,156,102,300,496
2021-03-10,106,208,428,471
2021-03-11,132,192,488,494
2021-03-12,160,203,480,454
2021-03-13,189,198,411,355
2021-03-14,195,110,429,286
2021-03-15,121,154,294,362
2021-03-16,162,196,366,394
2021-03-17,95,205,375,408
2021-03-18,144,182,431,365
2021-03-19,148,186,279,356
2021-03-20,105,170,263,462
2021-03-21,191,166,287,541
2021-03-22,178,171,498,508
2021-03-23,167,203,402,463
2021-03-24,87,148,394,343
2021-03-25,106,154,416,414
2021-03-26,105,115,426,359
2021-03-27,184,105,358,533
2021-03-28,102,117,345,278
2021-03-29,89,142,388,380
2021-03-30,147,120,406,477
2021-03-31,183,218,345,542
2021-04-01,103,148,367,478
2021-04-02,180,122,363,418
2021-04-03,107,201,356,268
2021-04-04,117,113,350,475
2021-04-05,137,213,494,296
2021-04-06,163,214,369,467
2021-04-07,118,197,405,362
2021-04-08,88,153,353,252
2021-04-09,112,184,430,348
2021-04-10,114,110,440,534
